,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,hermanus,0.0,ZA,1551812473,77.0,-34.42,19.24,20.56,0.89
1,severo-kurilsk,64.0,RU,1551812552,100.0,50.68,156.12,-5.8,4.94
2,souillac,0.0,FR,1551812409,71.0,45.6,-0.6,13.89,3.6
3,vaini,0.0,IN,1551812554,88.0,15.34,74.49,17.23,1.39
4,castro,75.0,CL,1551808800,72.0,-42.48,-73.76,16.0,7.7
5,kungurtug,0.0,RU,1551812557,53.0,50.6,97.53,-16.34,1.09
6,tasiilaq,75.0,GL,1551808200,48.0,65.61,-37.64,-7.0,7.7
7,mataura,44.0,NZ,1551811807,95.0,-46.19,168.86,15.56,4.49
8,neuquen,0.0,AR,1551808800,25.0,-38.95,-68.06,24.0,6.7
9,atuona,92.0,PF,1551812562,100.0,-9.8,-139.03,27.73,7.49
10,aklavik,5.0,CA,1551808800,84.0,68.22,-135.01,-11.0,3.1
11,nikolskoye,90.0,RU,1551812435,79.0,59.7,30.79,-5.0,6.0
12,busselton,80.0,AU,1551812460,35.0,-33.64,115.35,15.56,10.09
13,bethel,90.0,US,1551812160,100.0,60.79,-161.76,2.0,6.2
14,felanitx,20.0,ES,1551812493,100.0,39.47,3.15,16.67,4.1
15,carnarvon,0.0,ZA,1551812569,27.0,-30.97,22.13,23.66,2.24
16,rikitea,92.0,PF,1551812361,100.0,-23.12,-134.97,26.23,7.39
17,luderitz,0.0,NA,1551812319,72.0,-26.65,15.16,18.86,8.04
18,samarai,8.0,PG,1551812310,100.0,-10.62,150.67,28.06,4.39
19,dikson,56.0,RU,1551812571,97.0,73.51,80.55,-11.09,6.19
20,touros,40.0,BR,1551812400,74.0,-5.2,-35.46,29.0,5.7
21,deer lake,90.0,CA,1551808800,73.0,49.18,-57.43,-4.0,8.7
22,albany,40.0,US,1551812563,32.0,42.65,-73.75,-1.67,1.64
23,svetlogorsk,20.0,RU,1551810600,92.0,53.14,59.15,-9.0,3.0
24,puerto el triunfo,75.0,SV,1551811800,62.0,13.27,-88.55,33.0,4.6
25,thompson,75.0,CA,1551808800,64.0,55.74,-97.86,-18.0,5.1
26,meulaboh,20.0,ID,1551812576,100.0,4.14,96.13,27.26,2.99
27,taolanaro,,,nan,,,,,
28,georgetown,40.0,GY,1551808800,74.0,6.8,-58.16,31.0,6.2
29,chuy,8.0,UY,1551812320,93.0,-33.69,-53.46,25.33,3.64
30,wahiawa,20.0,US,1551812505,60.0,21.5,-158.02,22.0,3.6
31,punta arenas,40.0,CL,1551811991,40.0,-53.16,-70.91,11.0,10.3
32,new norfolk,75.0,AU,1551812370,62.0,-42.78,147.06,13.0,3.6
33,ribeira grande,20.0,PT,1551810600,58.0,38.52,-28.7,14.0,5.7
34,naze,75.0,NG,1551808800,88.0,5.43,7.07,28.0,6.2
35,puerto ayora,40.0,EC,1551808800,62.0,-0.74,-90.35,30.0,5.1
36,malindi,0.0,KE,1551812584,90.0,-3.22,40.12,27.61,4.39
37,kodiak,75.0,US,1551812534,24.0,39.95,-94.76,-5.57,6.2
